Web Search interest: linux
Worldwide; 2004 - present

Interest over time
Week,linux
2004-01-04 - 2004-01-10,82
2004-01-11 - 2004-01-17,81
2004-01-18 - 2004-01-24,84
2004-01-25 - 2004-01-31,81
2004-02-01 - 2004-02-07,86
2004-02-08 - 2004-02-14,89
2004-02-15 - 2004-02-21,86
2004-02-22 - 2004-02-28,89
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,82
2004-03-14 - 2004-03-20,82
2004-03-21 - 2004-03-27,80
2004-03-28 - 2004-04-03,81
2004-04-04 - 2004-04-10,85
2004-04-11 - 2004-04-17,79
2004-04-18 - 2004-04-24,85
2004-04-25 - 2004-05-01,77
2004-05-02 - 2004-05-08,74
2004-05-09 - 2004-05-15,86
2004-05-16 - 2004-05-22,78
2004-05-23 - 2004-05-29,82
2004-05-30 - 2004-06-05,82
2004-06-06 - 2004-06-12,78
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,77
2004-06-27 - 2004-07-03,77
2004-07-04 - 2004-07-10,77
2004-07-11 - 2004-07-17,78
2004-07-18 - 2004-07-24,75
2004-07-25 - 2004-07-31,78
2004-08-01 - 2004-08-07,77
2004-08-08 - 2004-08-14,76
2004-08-15 - 2004-08-21,70
2004-08-22 - 2004-08-28,69
2004-08-29 - 2004-09-04,76
2004-09-05 - 2004-09-11,73
2004-09-12 - 2004-09-18,74
2004-09-19 - 2004-09-25,72
2004-09-26 - 2004-10-02,72
2004-10-03 - 2004-10-09,70
2004-10-10 - 2004-10-16,68
2004-10-17 - 2004-10-23,74
2004-10-24 - 2004-10-30,75
2004-10-31 - 2004-11-06,74
2004-11-07 - 2004-11-13,67
2004-11-14 - 2004-11-20,68
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,68
2004-12-05 - 2004-12-11,68
2004-12-12 - 2004-12-18,65
2004-12-19 - 2004-12-25,67
2004-12-26 - 2005-01-01,59
2005-01-02 - 2005-01-08,58
2005-01-09 - 2005-01-15,58
2005-01-16 - 2005-01-22,67
2005-01-23 - 2005-01-29,62
2005-01-30 - 2005-02-05,65
2005-02-06 - 2005-02-12,62
2005-02-13 - 2005-02-19,63
2005-02-20 - 2005-02-26,64
2005-02-27 - 2005-03-05,64
2005-03-06 - 2005-03-12,66
2005-03-13 - 2005-03-19,64
2005-03-20 - 2005-03-26,59
2005-03-27 - 2005-04-02,60
2005-04-03 - 2005-04-09,61
2005-04-10 - 2005-04-16,59
2005-04-17 - 2005-04-23,57
2005-04-24 - 2005-04-30,55
2005-05-01 - 2005-05-07,55
2005-05-08 - 2005-05-14,58
2005-05-15 - 2005-05-21,63
2005-05-22 - 2005-05-28,59
2005-05-29 - 2005-06-04,55
2005-06-05 - 2005-06-11,57
2005-06-12 - 2005-06-18,60
2005-06-19 - 2005-06-25,56
2005-06-26 - 2005-07-02,55
2005-07-03 - 2005-07-09,55
2005-07-10 - 2005-07-16,55
2005-07-17 - 2005-07-23,54
2005-07-24 - 2005-07-30,55
2005-07-31 - 2005-08-06,51
2005-08-07 - 2005-08-13,53
2005-08-14 - 2005-08-20,51
2005-08-21 - 2005-08-27,55
2005-08-28 - 2005-09-03,51
2005-09-04 - 2005-09-10,54
2005-09-11 - 2005-09-17,55
2005-09-18 - 2005-09-24,54
2005-09-25 - 2005-10-01,49
2005-10-02 - 2005-10-08,52
2005-10-09 - 2005-10-15,52
2005-10-16 - 2005-10-22,57
2005-10-23 - 2005-10-29,55
2005-10-30 - 2005-11-05,52
2005-11-06 - 2005-11-12,54
2005-11-13 - 2005-11-19,54
2005-11-20 - 2005-11-26,52
2005-11-27 - 2005-12-03,50
2005-12-04 - 2005-12-10,49
2005-12-11 - 2005-12-17,48
2005-12-18 - 2005-12-24,46
2005-12-25 - 2005-12-31,45
2006-01-01 - 2006-01-07,40
2006-01-08 - 2006-01-14,46
2006-01-15 - 2006-01-21,47
2006-01-22 - 2006-01-28,46
2006-01-29 - 2006-02-04,43
2006-02-05 - 2006-02-11,48
2006-02-12 - 2006-02-18,46
2006-02-19 - 2006-02-25,48
2006-02-26 - 2006-03-04,45
2006-03-05 - 2006-03-11,46
2006-03-12 - 2006-03-18,51
2006-03-19 - 2006-03-25,46
2006-03-26 - 2006-04-01,46
2006-04-02 - 2006-04-08,44
2006-04-09 - 2006-04-15,44
2006-04-16 - 2006-04-22,44
2006-04-23 - 2006-04-29,43
2006-04-30 - 2006-05-06,40
2006-05-07 - 2006-05-13,44
2006-05-14 - 2006-05-20,43
2006-05-21 - 2006-05-27,40
2006-05-28 - 2006-06-03,42
2006-06-04 - 2006-06-10,42
2006-06-11 - 2006-06-17,41
2006-06-18 - 2006-06-24,42
2006-06-25 - 2006-07-01,41
2006-07-02 - 2006-07-08,40
2006-07-09 - 2006-07-15,42
2006-07-16 - 2006-07-22,43
2006-07-23 - 2006-07-29,42
2006-07-30 - 2006-08-05,40
2006-08-06 - 2006-08-12,43
2006-08-13 - 2006-08-19,37
2006-08-20 - 2006-08-26,37
2006-08-27 - 2006-09-02,40
2006-09-03 - 2006-09-09,37
2006-09-10 - 2006-09-16,43
2006-09-17 - 2006-09-23,42
2006-09-24 - 2006-09-30,41
2006-10-01 - 2006-10-07,40
2006-10-08 - 2006-10-14,43
2006-10-15 - 2006-10-21,42
2006-10-22 - 2006-10-28,41
2006-10-29 - 2006-11-04,39
2006-11-05 - 2006-11-11,42
2006-11-12 - 2006-11-18,42
2006-11-19 - 2006-11-25,40
2006-11-26 - 2006-12-02,40
2006-12-03 - 2006-12-09,39
2006-12-10 - 2006-12-16,38
2006-12-17 - 2006-12-23,36
2006-12-24 - 2006-12-30,33
2006-12-31 - 2007-01-06,30
2007-01-07 - 2007-01-13,35
