Web Search interest: transact-sql
Worldwide; 2004 - present

Interest over time
Month,transact-sql
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,100
2006-12,89
2007-01,89
2007-02,68
2007-03,68
2007-04,68
2007-05,68
2007-06,71
2007-07,75
2007-08,59
2007-09,59
2007-10,59
2007-11,59
2007-12,59
2008-01,56
2008-02,56
2008-03,56
2008-04,50
2008-05,54
2008-06,56
2008-07,59
2008-08,54
2008-09,54
2008-10,52
2008-11,52
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,44
2009-06,46
2009-07,46
2009-08,47
2009-09,47
2009-10,35
2009-11,32
2009-12,32
2010-01,30
2010-02,34
2010-03,36
2010-04,38
2010-05,35
2010-06,35
2010-07,35
2010-08,26
2010-09,26
2010-10,26
2010-11,26
2010-12,29
2011-01,24
2011-02,44
2011-03,41
2011-04,25
2011-05,29
2011-06,34
2011-07,26
2011-08,24
2011-09,29
2011-10,28
2011-11,21
2011-12,21
2012-01,21
2012-02,21
2012-03,22
2012-04,18
2012-05,18
2012-06,20
2012-07,18
2012-08,18
2012-09,16
2012-10,26
2012-11,21
2012-12,13
2013-01,13
2013-02,13
2013-03,13
2013-04,23
2013-05,13
2013-06,15
2013-07,18
2013-08,20
2013-09,23
2013-10,21
2013-11,17
2013-12,25
2014-01,21
2014-02,17
2014-03,14
2014-04,19
2014-05,14
2014-06,14
2014-07,14
2014-08,0

Interest over time
Month,Programming,transact-sql
2004-01,+0%,+0%
2004-02,+5%,+0%
2004-03,+2%,+0%
2004-04,+2%,+0%
2004-05,-2%,+0%
2004-06,+1%,+0%
2004-07,-4%,+0%
2004-08,-5%,+0%
2004-09,-1%,+0%
2004-10,-6%,+0%
2004-11,-12%,+0%
2004-12,-13%,+0%
2005-01,-18%,+0%
2005-02,-12%,+0%
2005-03,-13%,+0%
2005-04,-15%,+0%
2005-05,-13%,+0%
2005-06,-15%,+0%
2005-07,-20%,+0%
2005-08,-21%,+0%
2005-09,-20%,+0%
2005-10,-18%,+0%
2005-11,-21%,+0%
2005-12,-22%,+0%
2006-01,-28%,+0%
2006-02,-22%,+0%
2006-03,-23%,+0%
2006-04,-26%,+0%
2006-05,-27%,+0%
2006-06,-26%,+0%
2006-07,-31%,+0%
2006-08,-29%,+0%
2006-09,-28%,+0%
2006-10,-28%,+0%
2006-11,-28%,+0%
2006-12,-36%,-11%
2007-01,-34%,-11%
2007-02,-34%,-32%
2007-03,-32%,-32%
2007-04,-34%,-32%
2007-05,-34%,-32%
2007-06,-34%,-29%
2007-07,-38%,-25%
2007-08,-38%,-41%
2007-09,-39%,-41%
2007-10,-36%,-41%
2007-11,-36%,-41%
2007-12,-43%,-41%
2008-01,-43%,-44%
2008-02,-42%,-44%
2008-03,-41%,-44%
2008-04,-40%,-50%
2008-05,-44%,-46%
2008-06,-43%,-44%
2008-07,-44%,-41%
2008-08,-47%,-46%
2008-09,-46%,-46%
2008-10,-47%,-48%
2008-11,-46%,-48%
2008-12,-49%,-100%
2009-01,-46%,-100%
2009-02,-46%,-100%
2009-03,-45%,-100%
2009-04,-45%,-100%
2009-05,-46%,-56%
2009-06,-48%,-54%
2009-07,-48%,-54%
2009-08,-49%,-53%
2009-09,-48%,-53%
2009-10,-45%,-65%
2009-11,-46%,-68%
2009-12,-52%,-68%
2010-01,-51%,-70%
2010-02,-49%,-66%
2010-03,-48%,-64%
2010-04,-51%,-62%
2010-05,-51%,-65%
2010-06,-53%,-65%
2010-07,-56%,-65%
2010-08,-55%,-74%
2010-09,-54%,-74%
2010-10,-53%,-74%
2010-11,-54%,-74%
2010-12,-58%,-71%
2011-01,-56%,-76%
2011-02,-56%,-56%
2011-03,-55%,-59%
2011-04,-55%,-75%
2011-05,-56%,-71%
2011-06,-56%,-66%
2011-07,-57%,-74%
2011-08,-59%,-76%
2011-09,-57%,-71%
2011-10,-57%,-72%
2011-11,-57%,-79%
2011-12,-59%,-79%
2012-01,-60%,-79%
2012-02,-59%,-79%
2012-03,-57%,-78%
2012-04,-60%,-82%
2012-05,-59%,-82%
2012-06,-60%,-80%
2012-07,-62%,-82%
2012-08,-62%,-82%
2012-09,-60%,-84%
2012-10,-61%,-74%
2012-11,-61%,-79%
2012-12,-63%,-87%
2013-01,-62%,-87%
2013-02,-62%,-87%
2013-03,-62%,-87%
2013-04,-62%,-77%
2013-05,-63%,-87%
2013-06,-63%,-85%
2013-07,-64%,-82%
2013-08,-64%,-80%
2013-09,-63%,-77%
2013-10,-63%,-79%
2013-11,-62%,-83%
2013-12,-66%,-75%
2014-01,-64%,-79%
2014-02,-63%,-83%
2014-03,-62%,-86%
2014-04,-62%,-81%
2014-05,-64%,-86%
2014-06,-64%,-86%
2014-07,-65%,-86%
2014-08,-66%,-100%









