Web Search interest: unix
Worldwide; 2004 - present

Interest over time
Week,unix
2004-01-04 - 2004-01-10,73
2004-01-11 - 2004-01-17,89
2004-01-18 - 2004-01-24,78
2004-01-25 - 2004-01-31,90
2004-02-01 - 2004-02-07,97
2004-02-08 - 2004-02-14,87
2004-02-15 - 2004-02-21,96
2004-02-22 - 2004-02-28,85
2004-02-29 - 2004-03-06,79
2004-03-07 - 2004-03-13,86
2004-03-14 - 2004-03-20,88
2004-03-21 - 2004-03-27,73
2004-03-28 - 2004-04-03,100
2004-04-04 - 2004-04-10,80
2004-04-11 - 2004-04-17,75
2004-04-18 - 2004-04-24,78
2004-04-25 - 2004-05-01,74
2004-05-02 - 2004-05-08,70
2004-05-09 - 2004-05-15,74
2004-05-16 - 2004-05-22,73
2004-05-23 - 2004-05-29,81
2004-05-30 - 2004-06-05,76
2004-06-06 - 2004-06-12,87
2004-06-13 - 2004-06-19,79
2004-06-20 - 2004-06-26,63
2004-06-27 - 2004-07-03,71
2004-07-04 - 2004-07-10,82
2004-07-11 - 2004-07-17,83
2004-07-18 - 2004-07-24,77
2004-07-25 - 2004-07-31,75
2004-08-01 - 2004-08-07,75
2004-08-08 - 2004-08-14,76
2004-08-15 - 2004-08-21,70
2004-08-22 - 2004-08-28,75
2004-08-29 - 2004-09-04,77
2004-09-05 - 2004-09-11,71
2004-09-12 - 2004-09-18,75
2004-09-19 - 2004-09-25,71
2004-09-26 - 2004-10-02,73
2004-10-03 - 2004-10-09,71
2004-10-10 - 2004-10-16,66
2004-10-17 - 2004-10-23,64
2004-10-24 - 2004-10-30,72
2004-10-31 - 2004-11-06,68
2004-11-07 - 2004-11-13,66
2004-11-14 - 2004-11-20,73
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,65
2004-12-05 - 2004-12-11,62
2004-12-12 - 2004-12-18,64
2004-12-19 - 2004-12-25,59
2004-12-26 - 2005-01-01,42
2005-01-02 - 2005-01-08,54
2005-01-09 - 2005-01-15,61
