Web Search interest: eclipse
Worldwide; 2004 - present

Interest over time
Week,eclipse
2004-01-04 - 2004-01-10,66
2004-01-11 - 2004-01-17,63
2004-01-18 - 2004-01-24,60
2004-01-25 - 2004-01-31,61
2004-02-01 - 2004-02-07,62
2004-02-08 - 2004-02-14,70
2004-02-15 - 2004-02-21,70
2004-02-22 - 2004-02-28,74
2004-02-29 - 2004-03-06,81
2004-03-07 - 2004-03-13,60
2004-03-14 - 2004-03-20,73
2004-03-21 - 2004-03-27,55
2004-03-28 - 2004-04-03,76
2004-04-04 - 2004-04-10,85
2004-04-11 - 2004-04-17,70
2004-04-18 - 2004-04-24,75
2004-04-25 - 2004-05-01,71
2004-05-02 - 2004-05-08,63
2004-05-09 - 2004-05-15,93
2004-05-16 - 2004-05-22,73
2004-05-23 - 2004-05-29,86
2004-05-30 - 2004-06-05,82
2004-06-06 - 2004-06-12,76
2004-06-13 - 2004-06-19,73
2004-06-20 - 2004-06-26,91
2004-06-27 - 2004-07-03,95
2004-07-04 - 2004-07-10,100
2004-07-11 - 2004-07-17,98
2004-07-18 - 2004-07-24,82
2004-07-25 - 2004-07-31,86
2004-08-01 - 2004-08-07,92
2004-08-08 - 2004-08-14,81
2004-08-15 - 2004-08-21,94
2004-08-22 - 2004-08-28,85
2004-08-29 - 2004-09-04,82
2004-09-05 - 2004-09-11,78
2004-09-12 - 2004-09-18,90
2004-09-19 - 2004-09-25,77
2004-09-26 - 2004-10-02,89
2004-10-03 - 2004-10-09,87
2004-10-10 - 2004-10-16,88
2004-10-17 - 2004-10-23,93
2004-10-24 - 2004-10-30,84
2004-10-31 - 2004-11-06,90
2004-11-07 - 2004-11-13,89
2004-11-14 - 2004-11-20,90
2004-11-21 - 2004-11-27,87
2004-11-28 - 2004-12-04,89
2004-12-05 - 2004-12-11,90
2004-12-12 - 2004-12-18,88
2004-12-19 - 2004-12-25,73
2004-12-26 - 2005-01-01,71
2005-01-02 - 2005-01-08,76
2005-01-09 - 2005-01-15,91
2005-01-16 - 2005-01-22,85
2005-01-23 - 2005-01-29,87
2005-01-30 - 2005-02-05,86
2005-02-06 - 2005-02-12,77
2005-02-13 - 2005-02-19,92
2005-02-20 - 2005-02-26,97
2005-02-27 - 2005-03-05,89
2005-03-06 - 2005-03-12,91
2005-03-13 - 2005-03-19,96
2005-03-20 - 2005-03-26,83
2005-03-27 - 2005-04-02,84
2005-04-03 - 2005-04-09,86
2005-04-10 - 2005-04-16,92
2005-04-17 - 2005-04-23,88
2005-04-24 - 2005-04-30,91
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,89
2005-05-15 - 2005-05-21,89
2005-05-22 - 2005-05-28,90
2005-05-29 - 2005-06-04,94
2005-06-05 - 2005-06-11,99
2005-06-12 - 2005-06-18,96
2005-06-19 - 2005-06-25,96
2005-06-26 - 2005-07-02,99
2005-07-03 - 2005-07-09,98
2005-07-10 - 2005-07-16,95
2005-07-17 - 2005-07-23,87
2005-07-24 - 2005-07-30,94
2005-07-31 - 2005-08-06,87
2005-08-07 - 2005-08-13,83
2005-08-14 - 2005-08-20,82
2005-08-21 - 2005-08-27,88
2005-08-28 - 2005-09-03,89
2005-09-04 - 2005-09-10,91
2005-09-11 - 2005-09-17,89
2005-09-18 - 2005-09-24,87
2005-09-25 - 2005-10-01,91
2005-10-02 - 2005-10-08,87
2005-10-09 - 2005-10-15,96
2005-10-16 - 2005-10-22,100
2005-10-23 - 2005-10-29,96
2005-10-30 - 2005-11-05,89
2005-11-06 - 2005-11-12,95
2005-11-13 - 2005-11-19,99
2005-11-20 - 2005-11-26,93
2005-11-27 - 2005-12-03,88
