Web Search interest: java
Worldwide; 2004 - present

Interest over time
Week,java
2004-01-04 - 2004-01-10,83
2004-01-11 - 2004-01-17,83
2004-01-18 - 2004-01-24,86
2004-01-25 - 2004-01-31,83
2004-02-01 - 2004-02-07,84
2004-02-08 - 2004-02-14,87
2004-02-15 - 2004-02-21,87
2004-02-22 - 2004-02-28,88
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,86
2004-03-14 - 2004-03-20,88
2004-03-21 - 2004-03-27,81
2004-03-28 - 2004-04-03,87
2004-04-04 - 2004-04-10,83
2004-04-11 - 2004-04-17,84
2004-04-18 - 2004-04-24,84
2004-04-25 - 2004-05-01,84
2004-05-02 - 2004-05-08,80
2004-05-09 - 2004-05-15,82
2004-05-16 - 2004-05-22,84
2004-05-23 - 2004-05-29,85
2004-05-30 - 2004-06-05,82
2004-06-06 - 2004-06-12,81
2004-06-13 - 2004-06-19,82
2004-06-20 - 2004-06-26,81
2004-06-27 - 2004-07-03,82
2004-07-04 - 2004-07-10,79
2004-07-11 - 2004-07-17,80
2004-07-18 - 2004-07-24,79
2004-07-25 - 2004-07-31,78
2004-08-01 - 2004-08-07,78
2004-08-08 - 2004-08-14,76
2004-08-15 - 2004-08-21,77
2004-08-22 - 2004-08-28,76
2004-08-29 - 2004-09-04,79
2004-09-05 - 2004-09-11,78
2004-09-12 - 2004-09-18,80
2004-09-19 - 2004-09-25,82
2004-09-26 - 2004-10-02,80
2004-10-03 - 2004-10-09,83
2004-10-10 - 2004-10-16,82
2004-10-17 - 2004-10-23,81
2004-10-24 - 2004-10-30,84
2004-10-31 - 2004-11-06,80
2004-11-07 - 2004-11-13,78
2004-11-14 - 2004-11-20,84
2004-11-21 - 2004-11-27,82
2004-11-28 - 2004-12-04,80
2004-12-05 - 2004-12-11,81
2004-12-12 - 2004-12-18,78
2004-12-19 - 2004-12-25,73
2004-12-26 - 2005-01-01,67
2005-01-02 - 2005-01-08,70
2005-01-09 - 2005-01-15,74
2005-01-16 - 2005-01-22,75
2005-01-23 - 2005-01-29,75
2005-01-30 - 2005-02-05,80
2005-02-06 - 2005-02-12,76
2005-02-13 - 2005-02-19,75
2005-02-20 - 2005-02-26,79
2005-02-27 - 2005-03-05,76
2005-03-06 - 2005-03-12,76
2005-03-13 - 2005-03-19,77
2005-03-20 - 2005-03-26,74
2005-03-27 - 2005-04-02,73
2005-04-03 - 2005-04-09,74
2005-04-10 - 2005-04-16,72
2005-04-17 - 2005-04-23,74
2005-04-24 - 2005-04-30,73
2005-05-01 - 2005-05-07,71
2005-05-08 - 2005-05-14,76
2005-05-15 - 2005-05-21,74
2005-05-22 - 2005-05-28,72
2005-05-29 - 2005-06-04,71
2005-06-05 - 2005-06-11,72
2005-06-12 - 2005-06-18,69
2005-06-19 - 2005-06-25,70
2005-06-26 - 2005-07-02,70
2005-07-03 - 2005-07-09,65
2005-07-10 - 2005-07-16,69
2005-07-17 - 2005-07-23,64
2005-07-24 - 2005-07-30,64
2005-07-31 - 2005-08-06,65
2005-08-07 - 2005-08-13,63
2005-08-14 - 2005-08-20,62
2005-08-21 - 2005-08-27,62
2005-08-28 - 2005-09-03,63
2005-09-04 - 2005-09-10,62
2005-09-11 - 2005-09-17,65
2005-09-18 - 2005-09-24,66
2005-09-25 - 2005-10-01,64
2005-10-02 - 2005-10-08,66
2005-10-09 - 2005-10-15,67
2005-10-16 - 2005-10-22,68
2005-10-23 - 2005-10-29,67
2005-10-30 - 2005-11-05,63
2005-11-06 - 2005-11-12,66
2005-11-13 - 2005-11-19,65
2005-11-20 - 2005-11-26,65
2005-11-27 - 2005-12-03,66
2005-12-04 - 2005-12-10,66
2005-12-11 - 2005-12-17,63
2005-12-18 - 2005-12-24,61
2005-12-25 - 2005-12-31,57
2006-01-01 - 2006-01-07,54
2006-01-08 - 2006-01-14,59
2006-01-15 - 2006-01-21,59
2006-01-22 - 2006-01-28,60
2006-01-29 - 2006-02-04,61
2006-02-05 - 2006-02-11,62
2006-02-12 - 2006-02-18,60
2006-02-19 - 2006-02-25,62
2006-02-26 - 2006-03-04,62
2006-03-05 - 2006-03-11,62
2006-03-12 - 2006-03-18,61
2006-03-19 - 2006-03-25,60
2006-03-26 - 2006-04-01,60
2006-04-02 - 2006-04-08,60
2006-04-09 - 2006-04-15,59
2006-04-16 - 2006-04-22,59
2006-04-23 - 2006-04-29,59
2006-04-30 - 2006-05-06,55
2006-05-07 - 2006-05-13,59
2006-05-14 - 2006-05-20,58
2006-05-21 - 2006-05-27,56
2006-05-28 - 2006-06-03,57
2006-06-04 - 2006-06-10,56
2006-06-11 - 2006-06-17,54
2006-06-18 - 2006-06-24,54
2006-06-25 - 2006-07-01,52
2006-07-02 - 2006-07-08,52
2006-07-09 - 2006-07-15,51
2006-07-16 - 2006-07-22,54
2006-07-23 - 2006-07-29,53
2006-07-30 - 2006-08-05,52
2006-08-06 - 2006-08-12,50
2006-08-13 - 2006-08-19,50
2006-08-20 - 2006-08-26,53
2006-08-27 - 2006-09-02,51
2006-09-03 - 2006-09-09,52
2006-09-10 - 2006-09-16,53
2006-09-17 - 2006-09-23,52
2006-09-24 - 2006-09-30,54
2006-10-01 - 2006-10-07,52
2006-10-08 - 2006-10-14,54
2006-10-15 - 2006-10-21,55
2006-10-22 - 2006-10-28,55
2006-10-29 - 2006-11-04,57
2006-11-05 - 2006-11-11,57
2006-11-12 - 2006-11-18,56
2006-11-19 - 2006-11-25,53
2006-11-26 - 2006-12-02,56
2006-12-03 - 2006-12-09,53
2006-12-10 - 2006-12-16,53
2006-12-17 - 2006-12-23,52
2006-12-24 - 2006-12-30,47
2006-12-31 - 2007-01-06,46
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,51
2007-01-21 - 2007-01-27,54
2007-01-28 - 2007-02-03,53
2007-02-04 - 2007-02-10,54
2007-02-11 - 2007-02-17,51
2007-02-18 - 2007-02-24,53
2007-02-25 - 2007-03-03,51
2007-03-04 - 2007-03-10,56
2007-03-11 - 2007-03-17,54
2007-03-18 - 2007-03-24,52
2007-03-25 - 2007-03-31,51
2007-04-01 - 2007-04-07,51
2007-04-08 - 2007-04-14,51
2007-04-15 - 2007-04-21,53
2007-04-22 - 2007-04-28,53
2007-04-29 - 2007-05-05,47
2007-05-06 - 2007-05-12,51
2007-05-13 - 2007-05-19,53
2007-05-20 - 2007-05-26,51
2007-05-27 - 2007-06-02,51
2007-06-03 - 2007-06-09,51
2007-06-10 - 2007-06-16,48
2007-06-17 - 2007-06-23,48
2007-06-24 - 2007-06-30,47
2007-07-01 - 2007-07-07,46
2007-07-08 - 2007-07-14,47
2007-07-15 - 2007-07-21,49
2007-07-22 - 2007-07-28,46
2007-07-29 - 2007-08-04,45
2007-08-05 - 2007-08-11,45
2007-08-12 - 2007-08-18,44
2007-08-19 - 2007-08-25,45
2007-08-26 - 2007-09-01,45
2007-09-02 - 2007-09-08,46
2007-09-09 - 2007-09-15,45
2007-09-16 - 2007-09-22,48
2007-09-23 - 2007-09-29,46
2007-09-30 - 2007-10-06,46
2007-10-07 - 2007-10-13,47
2007-10-14 - 2007-10-20,46
2007-10-21 - 2007-10-27,47
2007-10-28 - 2007-11-03,48
2007-11-04 - 2007-11-10,47
2007-11-11 - 2007-11-17,48
2007-11-18 - 2007-11-24,51
2007-11-25 - 2007-12-01,54
2007-12-02 - 2007-12-08,49
2007-12-09 - 2007-12-15,44
2007-12-16 - 2007-12-22,42
2007-12-23 - 2007-12-29,36
2007-12-30 - 2008-01-05,35
2008-01-06 - 2008-01-12,42
2008-01-13 - 2008-01-19,41
2008-01-20 - 2008-01-26,41
2008-01-27 - 2008-02-02,43
2008-02-03 - 2008-02-09,41
2008-02-10 - 2008-02-16,41
2008-02-17 - 2008-02-23,43
2008-02-24 - 2008-03-01,43
2008-03-02 - 2008-03-08,45
2008-03-09 - 2008-03-15,44
2008-03-16 - 2008-03-22,42
2008-03-23 - 2008-03-29,42
2008-03-30 - 2008-04-05,43
2008-04-06 - 2008-04-12,42
2008-04-13 - 2008-04-19,44
2008-04-20 - 2008-04-26,43
2008-04-27 - 2008-05-03,40
2008-05-04 - 2008-05-10,41
2008-05-11 - 2008-05-17,41
2008-05-18 - 2008-05-24,41
2008-05-25 - 2008-05-31,40
2008-06-01 - 2008-06-07,40
2008-06-08 - 2008-06-14,40
2008-06-15 - 2008-06-21,39
2008-06-22 - 2008-06-28,40
2008-06-29 - 2008-07-05,39
2008-07-06 - 2008-07-12,39
2008-07-13 - 2008-07-19,40
2008-07-20 - 2008-07-26,39
2008-07-27 - 2008-08-02,38
2008-08-03 - 2008-08-09,38
2008-08-10 - 2008-08-16,35
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,38
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,40
2008-09-14 - 2008-09-20,38
2008-09-21 - 2008-09-27,39
2008-09-28 - 2008-10-04,37
2008-10-05 - 2008-10-11,38
2008-10-12 - 2008-10-18,39
2008-10-19 - 2008-10-25,40
2008-10-26 - 2008-11-01,38
2008-11-02 - 2008-11-08,38
2008-11-09 - 2008-11-15,38
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,37
2008-11-30 - 2008-12-06,39
2008-12-07 - 2008-12-13,38
2008-12-14 - 2008-12-20,36
2008-12-21 - 2008-12-27,32
2008-12-28 - 2009-01-03,28
2009-01-04 - 2009-01-10,35
2009-01-11 - 2009-01-17,36
2009-01-18 - 2009-01-24,35
2009-01-25 - 2009-01-31,35
2009-02-01 - 2009-02-07,37
2009-02-08 - 2009-02-14,36
2009-02-15 - 2009-02-21,36
2009-02-22 - 2009-02-28,37
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,37
2009-03-15 - 2009-03-21,36
2009-03-22 - 2009-03-28,37
2009-03-29 - 2009-04-04,37
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,36
2009-04-19 - 2009-04-25,36
2009-04-26 - 2009-05-02,34
2009-05-03 - 2009-05-09,34
2009-05-10 - 2009-05-16,35
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,34
2009-05-31 - 2009-06-06,34
2009-06-07 - 2009-06-13,33
2009-06-14 - 2009-06-20,33
2009-06-21 - 2009-06-27,31
2009-06-28 - 2009-07-04,30
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,31
2009-07-19 - 2009-07-25,30
2009-07-26 - 2009-08-01,31
2009-08-02 - 2009-08-08,31
2009-08-09 - 2009-08-15,31
2009-08-16 - 2009-08-22,31
2009-08-23 - 2009-08-29,31
2009-08-30 - 2009-09-05,32
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,32
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,30
2009-10-04 - 2009-10-10,32
2009-10-11 - 2009-10-17,32
2009-10-18 - 2009-10-24,31
2009-10-25 - 2009-10-31,32
2009-11-01 - 2009-11-07,33
2009-11-08 - 2009-11-14,32
2009-11-15 - 2009-11-21,33
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,31
2009-12-06 - 2009-12-12,31
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,26
2009-12-27 - 2010-01-02,23
2010-01-03 - 2010-01-09,28
2010-01-10 - 2010-01-16,29
2010-01-17 - 2010-01-23,30
2010-01-24 - 2010-01-30,29
2010-01-31 - 2010-02-06,30
2010-02-07 - 2010-02-13,29
2010-02-14 - 2010-02-20,29
2010-02-21 - 2010-02-27,30
2010-02-28 - 2010-03-06,30
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,31
