Web Search interest: ruby
Worldwide; 2004 - present

Interest over time
Week,ruby
2004-01-04 - 2004-01-10,24
2004-01-11 - 2004-01-17,31
2004-01-18 - 2004-01-24,27
2004-01-25 - 2004-01-31,25
2004-02-01 - 2004-02-07,26
2004-02-08 - 2004-02-14,29
2004-02-15 - 2004-02-21,30
2004-02-22 - 2004-02-28,32
2004-02-29 - 2004-03-06,33
2004-03-07 - 2004-03-13,30
2004-03-14 - 2004-03-20,28
2004-03-21 - 2004-03-27,22
2004-03-28 - 2004-04-03,24
2004-04-04 - 2004-04-10,27
2004-04-11 - 2004-04-17,21
2004-04-18 - 2004-04-24,31
2004-04-25 - 2004-05-01,22
2004-05-02 - 2004-05-08,29
2004-05-09 - 2004-05-15,21
2004-05-16 - 2004-05-22,22
2004-05-23 - 2004-05-29,22
2004-05-30 - 2004-06-05,28
2004-06-06 - 2004-06-12,28
2004-06-13 - 2004-06-19,32
2004-06-20 - 2004-06-26,27
2004-06-27 - 2004-07-03,32
2004-07-04 - 2004-07-10,28
2004-07-11 - 2004-07-17,32
2004-07-18 - 2004-07-24,29
2004-07-25 - 2004-07-31,24
2004-08-01 - 2004-08-07,26
2004-08-08 - 2004-08-14,24
2004-08-15 - 2004-08-21,30
2004-08-22 - 2004-08-28,27
2004-08-29 - 2004-09-04,27
2004-09-05 - 2004-09-11,30
2004-09-12 - 2004-09-18,25
2004-09-19 - 2004-09-25,29
2004-09-26 - 2004-10-02,29
2004-10-03 - 2004-10-09,25
2004-10-10 - 2004-10-16,28
2004-10-17 - 2004-10-23,26
2004-10-24 - 2004-10-30,30
2004-10-31 - 2004-11-06,23
2004-11-07 - 2004-11-13,27
2004-11-14 - 2004-11-20,25
2004-11-21 - 2004-11-27,27
2004-11-28 - 2004-12-04,25
2004-12-05 - 2004-12-11,26
2004-12-12 - 2004-12-18,31
2004-12-19 - 2004-12-25,28
2004-12-26 - 2005-01-01,20
2005-01-02 - 2005-01-08,24
2005-01-09 - 2005-01-15,26
2005-01-16 - 2005-01-22,30
2005-01-23 - 2005-01-29,36
2005-01-30 - 2005-02-05,39
2005-02-06 - 2005-02-12,34
2005-02-13 - 2005-02-19,26
2005-02-20 - 2005-02-26,35
2005-02-27 - 2005-03-05,32
2005-03-06 - 2005-03-12,29
2005-03-13 - 2005-03-19,33
2005-03-20 - 2005-03-26,35
2005-03-27 - 2005-04-02,33
2005-04-03 - 2005-04-09,46
2005-04-10 - 2005-04-16,35
2005-04-17 - 2005-04-23,33
2005-04-24 - 2005-04-30,34
2005-05-01 - 2005-05-07,42
2005-05-08 - 2005-05-14,38
2005-05-15 - 2005-05-21,39
2005-05-22 - 2005-05-28,39
2005-05-29 - 2005-06-04,40
2005-06-05 - 2005-06-11,43
2005-06-12 - 2005-06-18,47
2005-06-19 - 2005-06-25,46
2005-06-26 - 2005-07-02,40
2005-07-03 - 2005-07-09,42
2005-07-10 - 2005-07-16,51
2005-07-17 - 2005-07-23,46
2005-07-24 - 2005-07-30,49
2005-07-31 - 2005-08-06,49
2005-08-07 - 2005-08-13,70
2005-08-14 - 2005-08-20,54
2005-08-21 - 2005-08-27,61
2005-08-28 - 2005-09-03,61
2005-09-04 - 2005-09-10,59
2005-09-11 - 2005-09-17,52
2005-09-18 - 2005-09-24,59
2005-09-25 - 2005-10-01,61
2005-10-02 - 2005-10-08,59
2005-10-09 - 2005-10-15,66
2005-10-16 - 2005-10-22,75
2005-10-23 - 2005-10-29,73
2005-10-30 - 2005-11-05,74
2005-11-06 - 2005-11-12,64
2005-11-13 - 2005-11-19,76
2005-11-20 - 2005-11-26,74
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,71
2005-12-11 - 2005-12-17,98
2005-12-18 - 2005-12-24,96
2005-12-25 - 2005-12-31,79
2006-01-01 - 2006-01-07,71
2006-01-08 - 2006-01-14,83
2006-01-15 - 2006-01-21,84
2006-01-22 - 2006-01-28,83
2006-01-29 - 2006-02-04,78
2006-02-05 - 2006-02-11,79
2006-02-12 - 2006-02-18,81
2006-02-19 - 2006-02-25,80
2006-02-26 - 2006-03-04,84
2006-03-05 - 2006-03-11,88
2006-03-12 - 2006-03-18,88
2006-03-19 - 2006-03-25,86
2006-03-26 - 2006-04-01,96
2006-04-02 - 2006-04-08,96
2006-04-09 - 2006-04-15,82
2006-04-16 - 2006-04-22,79
2006-04-23 - 2006-04-29,80
2006-04-30 - 2006-05-06,75
2006-05-07 - 2006-05-13,80
2006-05-14 - 2006-05-20,90
2006-05-21 - 2006-05-27,80
2006-05-28 - 2006-06-03,80
2006-06-04 - 2006-06-10,76
2006-06-11 - 2006-06-17,78
2006-06-18 - 2006-06-24,78
2006-06-25 - 2006-07-01,86
2006-07-02 - 2006-07-08,92
2006-07-09 - 2006-07-15,93
2006-07-16 - 2006-07-22,88
2006-07-23 - 2006-07-29,88
2006-07-30 - 2006-08-05,93
2006-08-06 - 2006-08-12,100
2006-08-13 - 2006-08-19,93
2006-08-20 - 2006-08-26,91
2006-08-27 - 2006-09-02,89
2006-09-03 - 2006-09-09,83
2006-09-10 - 2006-09-16,94
2006-09-17 - 2006-09-23,89
2006-09-24 - 2006-09-30,93
2006-10-01 - 2006-10-07,83
2006-10-08 - 2006-10-14,92
2006-10-15 - 2006-10-21,89
2006-10-22 - 2006-10-28,94
2006-10-29 - 2006-11-04,85
2006-11-05 - 2006-11-11,86
2006-11-12 - 2006-11-18,86
2006-11-19 - 2006-11-25,87
2006-11-26 - 2006-12-02,89
2006-12-03 - 2006-12-09,84
2006-12-10 - 2006-12-16,84
2006-12-17 - 2006-12-23,78
2006-12-24 - 2006-12-30,71
2006-12-31 - 2007-01-06,82
2007-01-07 - 2007-01-13,84
2007-01-14 - 2007-01-20,82
2007-01-21 - 2007-01-27,86
2007-01-28 - 2007-02-03,84
2007-02-04 - 2007-02-10,93
2007-02-11 - 2007-02-17,83
2007-02-18 - 2007-02-24,90
2007-02-25 - 2007-03-03,85
2007-03-04 - 2007-03-10,88
2007-03-11 - 2007-03-17,95
2007-03-18 - 2007-03-24,88
2007-03-25 - 2007-03-31,85
2007-04-01 - 2007-04-07,86
2007-04-08 - 2007-04-14,84
2007-04-15 - 2007-04-21,84
2007-04-22 - 2007-04-28,88
2007-04-29 - 2007-05-05,89
2007-05-06 - 2007-05-12,86
2007-05-13 - 2007-05-19,97
2007-05-20 - 2007-05-26,91
2007-05-27 - 2007-06-02,93
2007-06-03 - 2007-06-09,90
2007-06-10 - 2007-06-16,95
2007-06-17 - 2007-06-23,92
2007-06-24 - 2007-06-30,90
2007-07-01 - 2007-07-07,95
2007-07-08 - 2007-07-14,94
2007-07-15 - 2007-07-21,84
2007-07-22 - 2007-07-28,88
2007-07-29 - 2007-08-04,87
2007-08-05 - 2007-08-11,84
2007-08-12 - 2007-08-18,87
2007-08-19 - 2007-08-25,84
2007-08-26 - 2007-09-01,87
2007-09-02 - 2007-09-08,82
2007-09-09 - 2007-09-15,83
2007-09-16 - 2007-09-22,84
2007-09-23 - 2007-09-29,77
2007-09-30 - 2007-10-06,74
2007-10-07 - 2007-10-13,81
2007-10-14 - 2007-10-20,84
2007-10-21 - 2007-10-27,81
2007-10-28 - 2007-11-03,82
2007-11-04 - 2007-11-10,83
2007-11-11 - 2007-11-17,80
2007-11-18 - 2007-11-24,78
2007-11-25 - 2007-12-01,91
2007-12-02 - 2007-12-08,95
2007-12-09 - 2007-12-15,88
2007-12-16 - 2007-12-22,84
2007-12-23 - 2007-12-29,66
2007-12-30 - 2008-01-05,73
2008-01-06 - 2008-01-12,74
2008-01-13 - 2008-01-19,74
2008-01-20 - 2008-01-26,69
2008-01-27 - 2008-02-02,72
2008-02-03 - 2008-02-09,71
2008-02-10 - 2008-02-16,71
2008-02-17 - 2008-02-23,74
2008-02-24 - 2008-03-01,69
2008-03-02 - 2008-03-08,72
2008-03-09 - 2008-03-15,74
2008-03-16 - 2008-03-22,75
2008-03-23 - 2008-03-29,70
2008-03-30 - 2008-04-05,68
2008-04-06 - 2008-04-12,70
2008-04-13 - 2008-04-19,69
2008-04-20 - 2008-04-26,76
2008-04-27 - 2008-05-03,71
2008-05-04 - 2008-05-10,69
2008-05-11 - 2008-05-17,65
2008-05-18 - 2008-05-24,63
2008-05-25 - 2008-05-31,67
2008-06-01 - 2008-06-07,73
2008-06-08 - 2008-06-14,66
2008-06-15 - 2008-06-21,74
2008-06-22 - 2008-06-28,72
2008-06-29 - 2008-07-05,64
2008-07-06 - 2008-07-12,68
2008-07-13 - 2008-07-19,69
2008-07-20 - 2008-07-26,66
2008-07-27 - 2008-08-02,61
2008-08-03 - 2008-08-09,66
2008-08-10 - 2008-08-16,62
2008-08-17 - 2008-08-23,62
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,61
2008-09-07 - 2008-09-13,61
2008-09-14 - 2008-09-20,62
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,59
2008-10-19 - 2008-10-25,61
2008-10-26 - 2008-11-01,63
2008-11-02 - 2008-11-08,58
2008-11-09 - 2008-11-15,63
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,57
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,64
2008-12-14 - 2008-12-20,59
2008-12-21 - 2008-12-27,59
2008-12-28 - 2009-01-03,47
2009-01-04 - 2009-01-10,62
2009-01-11 - 2009-01-17,56
2009-01-18 - 2009-01-24,54
2009-01-25 - 2009-01-31,57
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,59
2009-02-15 - 2009-02-21,62
2009-02-22 - 2009-02-28,58
2009-03-01 - 2009-03-07,62
2009-03-08 - 2009-03-14,60
2009-03-15 - 2009-03-21,61
2009-03-22 - 2009-03-28,55
2009-03-29 - 2009-04-04,57
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,58
2009-04-26 - 2009-05-02,55
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,56
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,55
2009-05-31 - 2009-06-06,55
2009-06-07 - 2009-06-13,55
2009-06-14 - 2009-06-20,54
2009-06-21 - 2009-06-27,53
2009-06-28 - 2009-07-04,55
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,55
2009-07-19 - 2009-07-25,54
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,58
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,53
2009-08-30 - 2009-09-05,55
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,50
2009-09-27 - 2009-10-03,46
2009-10-04 - 2009-10-10,46
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,46
2009-10-25 - 2009-10-31,48
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,48
2009-11-15 - 2009-11-21,50
2009-11-22 - 2009-11-28,49
2009-11-29 - 2009-12-05,51
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,42
2009-12-27 - 2010-01-02,39
2010-01-03 - 2010-01-09,44
2010-01-10 - 2010-01-16,45
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,46
2010-01-31 - 2010-02-06,51
2010-02-07 - 2010-02-13,47
2010-02-14 - 2010-02-20,50
2010-02-21 - 2010-02-27,49
2010-02-28 - 2010-03-06,48
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,46
2010-03-28 - 2010-04-03,47
2010-04-04 - 2010-04-10,46
2010-04-11 - 2010-04-17,47
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,46
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,47
2010-05-23 - 2010-05-29,47
2010-05-30 - 2010-06-05,44
2010-06-06 - 2010-06-12,45
2010-06-13 - 2010-06-19,45
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,44
2010-07-04 - 2010-07-10,43
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,44
2010-08-01 - 2010-08-07,45
2010-08-08 - 2010-08-14,45
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,45
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,45
2010-09-19 - 2010-09-25,43
2010-09-26 - 2010-10-02,42
2010-10-03 - 2010-10-09,45
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,47
2010-10-24 - 2010-10-30,70
2010-10-31 - 2010-11-06,78
2010-11-07 - 2010-11-13,53
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,41
2010-11-28 - 2010-12-04,43
2010-12-05 - 2010-12-11,45
2010-12-12 - 2010-12-18,43
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,38
2011-01-02 - 2011-01-08,44
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,76
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,64
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,54
2011-03-06 - 2011-03-12,49
2011-03-13 - 2011-03-19,45
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,49
2011-04-17 - 2011-04-23,44
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,41
2011-05-08 - 2011-05-14,44
2011-05-15 - 2011-05-21,43
2011-05-22 - 2011-05-28,44
2011-05-29 - 2011-06-04,45
2011-06-05 - 2011-06-11,42
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,43
2011-07-17 - 2011-07-23,44
2011-07-24 - 2011-07-30,43
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,42
2011-08-14 - 2011-08-20,42
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,40
