Web Search interest: winapi
Worldwide; 2004 - present

Interest over time
Week,winapi
2004-01-04 - 2004-01-10,74
2004-01-11 - 2004-01-17,60
2004-01-18 - 2004-01-24,61
2004-01-25 - 2004-01-31,62
2004-02-01 - 2004-02-07,63
2004-02-08 - 2004-02-14,74
2004-02-15 - 2004-02-21,100
2004-02-22 - 2004-02-28,58
2004-02-29 - 2004-03-06,62
2004-03-07 - 2004-03-13,66
2004-03-14 - 2004-03-20,70
2004-03-21 - 2004-03-27,85
2004-03-28 - 2004-04-03,100
2004-04-04 - 2004-04-10,59
2004-04-11 - 2004-04-17,73
2004-04-18 - 2004-04-24,87
2004-04-25 - 2004-05-01,56
2004-05-02 - 2004-05-08,56
2004-05-09 - 2004-05-15,56
2004-05-16 - 2004-05-22,67
2004-05-23 - 2004-05-29,85
2004-05-30 - 2004-06-05,49
2004-06-06 - 2004-06-12,53
2004-06-13 - 2004-06-19,76
2004-06-20 - 2004-06-26,81
2004-06-27 - 2004-07-03,63
2004-07-04 - 2004-07-10,84
2004-07-11 - 2004-07-17,81
2004-07-18 - 2004-07-24,78
2004-07-25 - 2004-07-31,49
2004-08-01 - 2004-08-07,50
2004-08-08 - 2004-08-14,51
2004-08-15 - 2004-08-21,52
2004-08-22 - 2004-08-28,68
2004-08-29 - 2004-09-04,67
2004-09-05 - 2004-09-11,67
2004-09-12 - 2004-09-18,61
2004-09-19 - 2004-09-25,61
2004-09-26 - 2004-10-02,49
2004-10-03 - 2004-10-09,42
2004-10-10 - 2004-10-16,43
2004-10-17 - 2004-10-23,44
2004-10-24 - 2004-10-30,51
2004-10-31 - 2004-11-06,60
2004-11-07 - 2004-11-13,63
2004-11-14 - 2004-11-20,67
2004-11-21 - 2004-11-27,71
2004-11-28 - 2004-12-04,75
2004-12-05 - 2004-12-11,53
2004-12-12 - 2004-12-18,66
2004-12-19 - 2004-12-25,54
2004-12-26 - 2005-01-01,58
2005-01-02 - 2005-01-08,41
2005-01-09 - 2005-01-15,42
2005-01-16 - 2005-01-22,42
2005-01-23 - 2005-01-29,41
2005-01-30 - 2005-02-05,47
2005-02-06 - 2005-02-12,70
2005-02-13 - 2005-02-19,54
2005-02-20 - 2005-02-26,36
2005-02-27 - 2005-03-05,37
2005-03-06 - 2005-03-12,74
2005-03-13 - 2005-03-19,62
2005-03-20 - 2005-03-26,67
2005-03-27 - 2005-04-02,31
2005-04-03 - 2005-04-09,33
2005-04-10 - 2005-04-16,35
2005-04-17 - 2005-04-23,74
2005-04-24 - 2005-04-30,49
2005-05-01 - 2005-05-07,49
2005-05-08 - 2005-05-14,73
2005-05-15 - 2005-05-21,37
2005-05-22 - 2005-05-28,41
2005-05-29 - 2005-06-04,57
2005-06-05 - 2005-06-11,55
2005-06-12 - 2005-06-18,43
2005-06-19 - 2005-06-25,45
2005-06-26 - 2005-07-02,48
2005-07-03 - 2005-07-09,59
2005-07-10 - 2005-07-16,70
2005-07-17 - 2005-07-23,53
2005-07-24 - 2005-07-30,34
2005-07-31 - 2005-08-06,34
2005-08-07 - 2005-08-13,34
2005-08-14 - 2005-08-20,40
2005-08-21 - 2005-08-27,59
2005-08-28 - 2005-09-03,32
2005-09-04 - 2005-09-10,37
2005-09-11 - 2005-09-17,38
2005-09-18 - 2005-09-24,36
2005-09-25 - 2005-10-01,26
2005-10-02 - 2005-10-08,43
2005-10-09 - 2005-10-15,42
2005-10-16 - 2005-10-22,56
2005-10-23 - 2005-10-29,44
2005-10-30 - 2005-11-05,34
2005-11-06 - 2005-11-12,50
2005-11-13 - 2005-11-19,27
2005-11-20 - 2005-11-26,35
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,53
2005-12-11 - 2005-12-17,42
2005-12-18 - 2005-12-24,38
